Service,Tool,Successful Operations,Server Errors,Total Tokens,Total Cost,Total Tests,Failed Tests,Passed Tests,Error Rate,Success Rate,Execution Time,Instruction Coverage,Branch Coverage,Line Coverage,Method Coverage
language-tool,AutoRestTest,2,0,9500,0.01,,,,,,,27%,16%,27%,28%
language-tool,LogiAgent,1,0,280133,0.11980040000000002,6,5,1,83.33%,16.67%,,15%,7%,16%,16%
language-tool,RESTifAI,2,1,125467,0.05,35,23,12,65.71%,34.29%,,28%,19%,28%,30%
genome-nexus,AutoRestTest,23,0,79399,0.04,,,,,,,61%,0%,65%,45%
genome-nexus,LogiAgent,19,0,2358698,1.0026967999999998,38,11,27,28.95%,71.05%,,56%,0%,60%,39%
genome-nexus,RESTifAI,23,0,7256134,2.94,326,216,110,66.26%,33.74%,,61%,0%,65%,45%
ohsome,AutoRestTest,33,0,1298035,0.84,,,,,,,,,,
ohsome,LogiAgent,4,3,11240415,4.866130800000001,234,196,38,83.76%,16.24%,,,,,
ohsome,RESTifAI,128,50,83976092,28.48,2213,801,1412,36.20%,63.80%,,,,,
fdic,AutoRestTest,6,41,63281,0.04,,,,,,,,,,
fdic,LogiAgent,6,0,962013,0.4240956000000001,26,18,8,69.23%,30.77%,,,,,
fdic,RESTifAI,6,0,11805349,4.74,133,76,57,57.14%,42.86%,,,,,
rest-countries,AutoRestTest,22,83,50813,0.03,,,,,,,82%,88%,78%,85%
rest-countries,LogiAgent,13,0,1677871,0.6997324,27,0,,,,,50%,40%,49%,68%
rest-countries,RESTifAI,20,0,1775590,0.71,191,92,99,48.17%,51.83%,,77%,74%,72%,83%
