GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,Hg38Mixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,GeneMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,MyVariantInfoMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,CosmicMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,GnomadMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,SnpeffMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,RcvMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,AllelesMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,AlleleFrequencyMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,HomozygotesMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,MutdbMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,VcfMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,Hg19Mixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,AnnMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,MyVariantInfoClinVarMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,AlleleNumberMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,AlleleCountMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,DbsnpMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin.my_variant_info_mixin,HgvsMixin,3,0,0,0,1,0,1,0,1,0
