GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restcountries,eu.fayder.restcountries.rest,CountryServiceBase,62,376,12,50,14,78,8,36,1,12
restcountries,eu.fayder.restcountries.domain,BaseCountry,0,57,0,0,0,19,0,19,0,19
restcountries,eu.fayder.restcountries.domain,ResponseEntity,6,9,0,0,2,4,2,1,2,1
restcountries,eu.fayder.restcountries.servlet,NotFoundExceptionMapper,0,15,0,0,0,4,0,3,0,3
restcountries,eu.fayder.restcountries.servlet,RestApplication,0,32,0,0,0,7,0,2,0,2
restcountries,eu.fayder.restcountries.servlet,CORSFilter,30,0,0,0,9,0,4,0,4,0
restcountries,eu.fayder.restcountries.v1.domain,CountryTranslations,20,18,0,0,10,6,5,6,5,6
restcountries,eu.fayder.restcountries.v1.domain,Country,0,15,0,0,0,5,0,5,0,5
restcountries,eu.fayder.restcountries.v2.domain,Country,0,21,0,0,0,7,0,7,0,7
restcountries,eu.fayder.restcountries.v2.domain,Translations,0,18,0,0,0,6,0,6,0,6
restcountries,eu.fayder.restcountries.v2.domain,Contribution,21,0,0,0,4,0,4,0,4,0
restcountries,eu.fayder.restcountries.v2.domain,Currency,12,12,0,0,6,4,3,4,3,4
restcountries,eu.fayder.restcountries.v2.domain,RegionalBloc,0,31,0,4,0,9,0,7,0,5
restcountries,eu.fayder.restcountries.v2.domain,Language,16,15,0,0,8,5,4,5,4,5
restcountries,eu.fayder.restcountries,Application,0,8,0,0,0,3,0,2,0,2
restcountries,eu.fayder.restcountries.v2.rest,StripeRest,96,7,8,0,21,2,7,2,3,2
restcountries,eu.fayder.restcountries.v2.rest,CountryService,42,214,10,26,8,46,7,27,1,15
restcountries,eu.fayder.restcountries.v2.rest,CountryRestV2,133,592,14,44,38,97,14,38,1,22
restcountries,eu.fayder.restcountries.v2.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
restcountries,eu.fayder.restcountries.v1.rest,CountryRestV1,106,279,12,28,31,57,12,24,1,15
restcountries,eu.fayder.restcountries.v1.rest,CountryService,5,129,0,12,1,30,1,19,1,13
restcountries,eu.fayder.restcountries.v1.rest,CountryService.InstanceHolder,0,6,0,0,0,1,0,1,0,1
